tag,hr,ndcg,best_round,actual,false_ratio,trusted_n
V0_legacy_intersection,0.4189,0.2114,24,25,0.735,139.7
V0_legacy_union,0.4581,0.2413,24,25,0.723,145.7
V1_sim_intersection,0.5080,0.2828,24,25,0.460,411.4
V1_sim_union,0.4592,0.2529,24,25,0.479,406.9
V1_sim_no_graph,0.4655,0.2528,24,25,0.000,0.0
V2_topk10_intersection,0.4199,0.2315,16,22,0.985,0.3
V2_topk20_intersection,0.4634,0.2628,24,25,0.959,1.6
V2_topk50_intersection,0.4677,0.2482,23,25,0.911,8.2
V3_product_thresh,0.4889,0.2802,24,25,0.522,403.2
V3_product_topk20,0.4327,0.2267,20,25,0.980,0.7
V4_rank_topk20,0.4390,0.2341,24,25,0.971,1.0
V4_rank_topk50,0.4539,0.2427,20,25,0.954,3.8
V5_item_only_sim,0.5016,0.2867,24,25,0.000,0.0
V5_interest_only_sim,0.4867,0.2628,24,25,0.000,0.0
V6_int_dp0.005,0.5016,0.2952,24,25,0.478,395.4
V6_int_dp0.01,0.5037,0.2906,24,25,0.455,416.1
